Identifiant de la salle;Nom;Nom de l'équipement;Nom complet de l'équipement;Nom usuel de l'équipement;Adresse;Ville;Code postal;Catégorie salle;Web;Email;Téléphone;Type d'évènement;Capacité debout;Capacité assis;Capacité repas;Capacité spectacle;Capacité réunion;Capacité conférence;Sono;Type sono;Vidéo;Scène;Surface scène;Salle annexe;Cuisine;Espace bar;Accès PMR;Parking;Espace extérieur;Informations pratiques;Géolocalisation
301;Salle A avec Cuisine rdc - Pôle associatif Grand Blottereau;Pôle assoc. Gd Blottereau;Pôle associatif Grand Blottereau;;16 Boulevard Auguste Péneau;Nantes;44300;2;;;02 40 41 56 62;Réunion de famille, Réunion.;80;50;50;0;50;80;1;Mobile;0;0;0.0;0;1;0;1;1;jardin public;;47.2284292959,-1.51292983966
901;Salle A rdc - Maison de quartier de Saint Joseph;M. des asso. St Joseph;Maison des associations de Saint Joseph;;478 Route de Saint Joseph;Nantes;44300;2;;;02 40 18 07 54;Conférence, Réunion., Réunion de famille;110;80;80;100;80;100;1;Mobile;0;0;0.0;0;0;1;1;1;jardin clôturé;;47.2692536302,-1.51979922693
511;Salle Expo rdc - Salles municipales La Manu;Salles La Manu;Salles municipales La Manu;Salle de la Manu;10B Boulevard de Stalingrad;Nantes;44000;1;http://www.nantes.fr;;02 40 41 65 26;Conférence, Réunion., Séminaire-Congrès;290;0;0;200;200;200;1;Fixe;1;0;0.0;1;0;1;1;0;;Bus 12 et Tram L1 : arrêt Manufacture.;47.2194242547,-1.53559413954
421;Salle AB avec Cuisine rdc - Salle municipale La Roche;Salle La Roche;Salle municipale La Roche;;7 Rue de la Révolution des Oeillets;Nantes;44000;2;;;;Réunion., Réunion de famille;0;100;100;0;100;0;1;;0;0;0.0;0;1;0;;1;;;47.2183710228,-1.52066106009
1021;Hall expo - Maison des Syndicats;Maison des Syndicats;Maison des Syndicats;;Place de la Gare de l'Etat;Nantes;44200;1;;;02 40 20 46 33;Conférence, Réunion., Spectacle, Séminaire-Congrès;100;100;100;100;100;100;1;Fixe;1;0;0.0;1;0;0;1;1;;Chronobus C5 arrêt Gare de l'Etat - Bus 26 arrêt République;47.2041727272,-1.55934845059
931;Salle festive rdc - Maison de quartier Dervallières;M. de quartier Dervallières;Maison de quartier Dervallières;Maison de quartier des Dervallières;5 Rue Auguste Renoir;Nantes;44100;2;;DVAJ-NordOuest@mairie-nantes.fr;02 40 41 62 34;Conférence, Réunion., Spectacle, Réunion de famille;230;148;148;150;148;150;0;;0;0;0.0;0;1;0;1;1;Terrasse;Chronobus C3 arrêt Delacroix - Chronobus C6 arrêt Prière;47.22302055,-1.59519388172
121;Salle A rdc - Salle municipale Bretagne;Salle Bretagne;Salle municipale Bretagne;Salle Bretagne;23 Rue Villebois Mareuil;Nantes;44000;3;;DDA-POLE-LOCATIONS@mairie-nantes.fr;02 40 41 31 60;Conférence, Réunion., Spectacle, Séminaire-Congrès;0;0;0;412;412;412;1;Fixe;0;1;50.0;0;0;0;2;0;;Tram L3 arrêt Poitou - Bus 12, 23 et Chronobus C2 arrêt Bruneau;47.2273948044,-1.56480635146
751;Salle A rdc - Pôle associatif Port Boyer;Pôle assoc. Port Boyer;Pôle associatif Port Boyer;;80 Rue du Port Boyer;Nantes;44300;2;;;02 40 93 85 44;Conférence, Réunion., Réunion de famille;100;80;80;100;80;100;1;Mobile;0;0;0.0;0;0;0;1;0;patio intérieur;;47.2418838687,-1.53905017755
781;Salle A avec Cuisine rdc - Salle municipale Radar Pin Sec;Salle Radar Pin Sec;Salle municipale Radar Pin Sec;Salle Radar Pin Sec;24 Boulevard Henri Dunant;Nantes;44300;2;;DVAJ-SudEst@mairie-nantes.fr;02 40 41 56 62;Conférence, Réunion., Spectacle, Réunion de famille;210;120;120;120;120;120;1;Mobile;0;0;0.0;0;1;1;1;0;;;47.2440539092,-1.52123531587
1;Salle A avec Cuisine - Salle municipale Bonnaire;Salle Bonnaire;Salle municipale Bonnaire;Salle Georges Bonnaire;1 Rue de Koufra;Nantes;44300;3;;DDA-POLE-LOCATIONS@mairie-nantes.fr;02 40 41 31 60;Conférence, Réunion., Spectacle, Réunion de famille, Séminaire-Congrès;200;140;140;174;140;174;1;Mobile;0;1;13.0;0;1;1;1;1;cour d'école;;47.2422119009,-1.52891344073
91;Salle A avec Cuisine - Pôle associatif du Breil Malville;Pôle assoc. Breil Malville;Pôle associatif du Breil Malville;;38 Rue du Breil;Nantes;44100;2;;;02 40 76 25 81;Conférence, Réunion., Spectacle, Réunion de famille, Danse;140;120;120;130;120;130;1;Mobile;0;0;0.0;0;1;0;1;0;jardin clôturé;;47.229070563,-1.58492675078
541;Salle Réunion A avec Cuisine étage 1 - Salles municipales La Manu;Salles La Manu;Salles municipales La Manu;Salle de la Manu;10B Boulevard de Stalingrad;Nantes;44000;1;http://www.nantes.fr;;02 40 41 65 26;Conférence, Réunion., Séminaire-Congrès;0;0;0;0;20;0;0;;1;0;0.0;1;0;0;1;0;;Bus 12 et Tram L1 : arrêt Manufacture.;47.2194242547,-1.53559413954
